REFERENCE POOL ID,LOAN ID,ltv,ltv_95,NUMBER OF BORROWERS,cnt_borr_1,cnt_borr_2,dti,fico,fico_640,FIRST TIME HOME BUYER INDICATOR,flag_fthb_y,LOAN PURPOSE,loan_purpose_p,PROPERTY TYPE,prop_type_SF,prop_type_CO,NUMBER OF UNITS,numunt_2,OCCUPANCY TYPE,occpy_sts_i,occpy_sts_s,ORIGINATION CHANNEL,channel_C,New_Int_rt,ORIGINAL UPB,rel_median_orig_UPB,rel_orig_upb_2,Act_endg_upb,st,change_unemp,relative_unem,,,,,,,,
5083,91182090,69,0,1,1,0,40.97,758,118,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.625,215000,96.84684685,0,214000,MA,0.01,0.02,,,,,,,,
5083,91182091,80,0,1,1,0,37.05,673,33,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.875,196000,88.28828829,0,195000,NY,0.01,0.02,,,,,,,,
5083,91182092,80,0,1,1,0,46.75,746,106,Y,1,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,4.25,390000,175.6756757,0,387000,CA,0.01,0.02,,,,,,,,
5083,91182093,80,0,1,1,0,48.17,672,32,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.99,200000,90.09009009,0,199000,NM,0.01,0.02,,,,,,,,
5083,91182094,80,0,2,0,1,34.95,791,151,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.25,384000,172.972973,0,382000,CA,0.01,0.02,,,,,,,,
5083,91182095,80,0,1,1,0,29.65,788,148,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,3.75,168000,75.67567568,0,164000,GA,0.01,0.02,,,,,,,,
5083,91182096,75,0,1,1,0,33.87,661,21,N,0,NO CASH-OUT REFINANCE,0,Condo,0,1,1,0,Principal,0,0,R,0,5.125,107000,48.1981982,0,106000,FL,0.01,0.02,,,,,,,,
5083,91182097,75,0,1,1,0,48.12,785,145,N,0,PURCHASE,1,SF,1,0,2,1,Principal,0,0,R,0,4.125,217000,97.74774775,0,215000,NJ,0.01,0.02,,,,,,,,
5083,91182098,75,0,2,0,1,45.32,788,148,N,0,PURCHASE,1,SF,1,0,1,0,Second,0,1,R,0,4,308000,138.7387387,0,306000,FL,0.01,0.02,,,,,,,,
5083,91182099,78,0,1,1,0,23.89,758,118,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.25,210000,94.59459459,0,209000,WI,0.01,0.02,,,,,,,,
5083,91182100,80,0,1,1,0,38.44,751,111,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.375,117000,52.7027027,0,116000,IN,0.01,0.02,,,,,,,,
5083,91182101,77,0,2,0,1,45.17,674,34,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,5.375,149000,67.11711712,0,147000,IL,0.01,0.02,,,,,,,,
5083,91182102,80,0,1,1,0,33.7,809,169,Y,1,PURCHASE,1,Condo,0,1,1,0,Principal,0,0,R,0,3.75,360000,162.1621622,0,358000,NJ,0.01,0.02,,,,,,,,
5083,91182103,69,0,1,1,0,29.32,746,106,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.375,158000,71.17117117,0,156000,MI,0.01,0.02,,,,,,,,
5083,91182104,80,0,1,1,0,32.53,709,69,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.75,174000,78.37837838,0,172000,GA,0.01,0.02,,,,,,,,
5083,91182105,79,0,1,1,0,26.34,783,143,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.875,215000,96.84684685,0,214000,IL,0.01,0.02,,,,,,,,
5083,91182106,80,0,1,1,0,18.78,771,131,N,0,NO CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,C,1,4.125,293000,131.981982,0,291000,UT,0.01,0.02,,,,,,,,
5083,91182107,80,0,2,0,1,42.5,717,77,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,4.25,300000,135.1351351,0,298000,TX,0.01,0.02,,,,,,,,
5083,91182108,75,0,1,1,0,20.46,791,151,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.375,145000,65.31531532,0,144000,VA,0.01,0.02,,,,,,,,
5083,91182109,80,0,1,1,0,32.05,629,0,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,B,0,5.125,255000,114.8648649,0,254000,LA,0.01,0.02,,,,,,,,
5083,91182110,80,0,2,0,1,23.14,747,107,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4,300000,135.1351351,0,298000,TN,0.01,0.02,,,,,,,,
5083,91182111,80,0,1,1,0,45.6,759,119,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,B,0,4.5,260000,117.1171171,0,259000,UT,0.01,0.02,,,,,,,,
5083,91182112,80,0,2,0,1,40.4,774,134,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,C,1,5,51000,22.97297297,0,51000,GA,0.01,0.02,,,,,,,,
5083,91182113,63,0,2,0,1,38.76,724,84,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,B,0,4.99,216000,97.2972973,0,215000,CO,0.01,0.02,,,,,,,,
5083,91182114,80,0,1,1,0,43.25,781,141,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,3.875,132000,59.45945946,0,131000,OH,0.01,0.02,,,,,,,,
5083,91182115,80,0,1,1,0,30.61,766,126,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,C,1,3.875,343000,154.5045045,0,341000,UT,0.01,0.02,,,,,,,,
5083,91182116,74,0,2,0,1,43.9,769,129,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,4.49,422000,190.0900901,0,420000,TX,0.01,0.02,,,,,,,,
5083,91182117,70,0,1,1,0,47.67,750,110,N,0,CASH-OUT REFINANCE,0,SF,1,0,2,1,Investor,1,0,R,0,5.5,90000,40.54054054,0,89000,TX,0.01,0.02,,,,,,,,
5083,91182118,74,0,1,1,0,23.57,812,172,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.5,136000,61.26126126,0,135000,WI,0.01,0.02,,,,,,,,
5083,91182119,66,0,1,1,0,49.75,813,173,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,3.875,198000,89.18918919,0,197000,PR,0.01,0.02,,,,,,,,
5083,91182120,80,0,1,1,0,21.31,701,61,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.5,296000,133.3333333,0,294000,ID,0.01,0.02,,,,,,,,
5083,91182121,80,0,1,1,0,33.88,795,155,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,R,0,5.875,57000,25.67567568,0,57000,TN,0.01,0.02,,,,,,,,
5083,91182122,78,0,2,0,1,41.67,778,138,N,0,PURCHASE,1,PUD,0,0,1,0,Second,0,1,C,1,4.25,300000,135.1351351,0,298000,FL,0.01,0.02,,,,,,,,
5083,91182123,65,0,2,0,1,48.56,699,59,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,5,100000,45.04504505,0,99024.64,FL,0.01,0.02,,,,,,,,
5083,91182124,80,0,1,1,0,44.15,770,130,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,3.875,444000,200,0,442000,SC,0.01,0.02,,,,,,,,
5083,91182125,80,0,2,0,1,24.37,780,140,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.25,372000,167.5675676,0,368000,WA,0.01,0.02,,,,,,,,
5083,91182126,65,0,1,1,0,42.18,757,117,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.125,498000,224.3243243,24.32432432,493000,CA,0.01,0.02,,,,,,,,
5083,91182127,66,0,1,1,0,43.85,721,81,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.75,178000,80.18018018,0,176000,UT,0.01,0.02,,,,,,,,
5083,91182128,80,0,2,0,1,36.3,756,116,Y,1,PURCHASE,1,MH,0,0,1,0,Principal,0,0,R,0,4.95,228000,102.7027027,0,227000,OR,0.01,0.02,,,,,,,,
5083,91182129,80,0,1,1,0,37.78,757,117,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,B,0,5.375,148000,66.66666667,0,147000,AZ,0.01,0.02,,,,,,,,
5083,91182130,75,0,2,0,1,36.07,765,125,N,0,NO CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.25,373000,168.018018,0,370000,TN,0.01,0.02,,,,,,,,
5083,91182131,80,0,2,0,1,34.96,783,143,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,3.875,158000,71.17117117,0,156000,ID,0.01,0.02,,,,,,,,
5083,91182132,77,0,2,0,1,42,763,123,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,3.875,237000,106.7567568,0,234000,CO,0.01,0.02,,,,,,,,
5083,91182133,80,0,1,1,0,36.7,716,76,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,4.875,282000,127.027027,0,281000,FL,0.01,0.02,,,,,,,,
5083,91182134,69,0,2,0,1,24.9,740,100,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,3.99,360000,162.1621622,0,358000,KY,0.01,0.02,,,,,,,,
5083,91182135,80,0,2,0,1,33.37,742,102,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.25,245000,110.3603604,0,243000,UT,0.01,0.02,,,,,,,,
5083,91182136,80,0,2,0,1,36.19,761,121,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.125,117000,52.7027027,0,117000,IL,0.01,0.02,,,,,,,,
