Variable,Estimate
fico,-0.00549
fico_640,-0.00681
ltv,0.0285
dti,0.0207
rel_median_orig_UPB,0.00165
channel_C,0.1971
loan_purpose_p,-0.2491
occpy_sts_i,0.284
rel_orig_upb_2,-0.003
prop_type_SF,-0.0833
cnt_borr_2,-0.4462
numunt_2,0.2526
change_unemp,0.2188
change_in_hpi,-0.0801
Diff_HPI_vol,3.1984
loan_age_qtr,-19.5768
loan_age_qtr,-19.6353
loan_age_qtr,-6.763
loan_age_qtr,-6.1114
loan_age_qtr,-5.8376
loan_age_qtr,-5.4316
loan_age_qtr,-5.2673
loan_age_qtr,-4.9566
loan_age_qtr,-4.8514
loan_age_qtr,-4.8259
loan_age_qtr,-4.6714
loan_age_qtr,-4.7143
loan_age_qtr,-4.6972
loan_age_qtr,-4.6624
loan_age_qtr,-4.6662
loan_age_qtr,-4.7143
loan_age_qtr,-4.703
loan_age_qtr,-4.6635
loan_age_qtr,-4.6658
loan_age_qtr,-4.6231
loan_age_qtr,-4.7253
loan_age_qtr,-4.7582
loan_age_qtr,-4.7364
loan_age_qtr,-4.7602
loan_age_qtr,-4.7761
loan_age_qtr,-4.8063
loan_age_qtr,-4.6832
loan_age_qtr,-4.656
loan_age_qtr,-4.7728
loan_age_qtr,-4.8213
loan_age_qtr,-4.7863
loan_age_qtr,-4.9312
loan_age_qtr,-4.8514
loan_age_qtr,-4.764
loan_age_qtr,-4.9976
loan_age_qtr,-4.9887
loan_age_qtr,-4.9337
loan_age_qtr,-5.0909
loan_age_qtr,-5.0755
loan_age_qtr,-5.1348
