Year,Quarter,_1y_ir,_10y_ir,HPA,unemployment,30yr mortgage
1991,1,6.28,8.02,,6.8,9.52
1991,2,6.32,8.13,0.786895838,6.9,9.67
1991,3,5.42,7.95,1.242374489,6.9,8.92
1991,4,4.12,7.35,0.137093637,7.3,8.35
1992,1,4.54,7.31,0.263865289,7.4,8.98
1992,2,4.05,7.38,1.530296207,7.8,8.43
1992,3,3.06,6.62,0.861331768,7.6,8.02
1992,4,3.61,6.74,-0.707662894,7.4,8.14
1993,1,3.32,6.26,0.736246573,7,7.5
1993,2,3.45,5.99,1.971482992,7,7.34
1993,3,3.39,5.62,0.966729968,6.7,6.95
1993,4,3.63,5.62,2.141566242,6.5,7.13
1994,1,4.5,6.09,0.487761784,6.5,7.8
1994,2,5.51,7.09,0.485394211,6.1,8.46
1994,3,5.96,7.33,1.123507137,5.9,8.82
1994,4,7.2,7.84,-1.410863656,5.5,9.18
1995,1,6.49,7.47,3.037916831,5.4,8.38
1995,2,5.65,6.6,1.558068392,5.6,7.53
1995,3,5.65,6.33,1.076381484,5.6,7.62
1995,4,5.18,5.9,-0.24671415,5.6,7.11
1996,1,5.41,5.91,3.028627942,5.5,7.69
1996,2,5.7,6.71,0.107371474,5.3,8.29
1996,3,5.71,6.78,-0.289340094,5.2,8.16
1996,4,5.51,6.35,2.024244492,5.4,7.64
1997,1,6.02,6.57,-0.300629924,5.2,7.97
1997,2,5.67,6.7,1.670403979,5,7.58
1997,3,5.47,6.24,0.311613851,4.9,7.28
1997,4,5.51,5.91,0.063800943,4.7,6.99
1998,1,5.41,5.59,0.183201294,4.7,7.08
1998,2,5.38,5.59,2.801391556,4.5,6.96
1998,3,4.41,5.21,0.617143053,4.6,6.64
1998,4,4.53,4.66,0.506291355,4.4,6.83
1999,1,4.72,5,0.78503509,4.2,6.98
1999,2,5.07,5.54,1.708671279,4.3,7.63
1999,3,5.22,5.88,0.461653836,4.2,7.76
1999,4,5.98,6.14,-2.764250564,4,8.06
