Variable,Estimate
fico,0.000776
dti,-0.00224
ltv,-0.00373
ltv_95,0.03
change_in_hpi,0.0817
refi_incentive,0.6496
relative_unem,-0.0026
occpy_sts_i,-0.2441
occpy_sts_s,-0.2189
loan_purpose_p,0.1627
cnt_borr_1,-0.1137
flag_fthb_y,-0.1315
prop_type_CO,0.0399
loan_age_qtr,-5.9615
loan_age_qtr,-4.0794
loan_age_qtr,-3.5255
loan_age_qtr,-3.2922
loan_age_qtr,-3.0941
loan_age_qtr,-3.0063
loan_age_qtr,-2.9193
loan_age_qtr,-2.9242
loan_age_qtr,-2.9354
loan_age_qtr,-2.9663
loan_age_qtr,-2.9832
loan_age_qtr,-3.0227
loan_age_qtr,-3.0274
loan_age_qtr,-3.0809
loan_age_qtr,-3.097
loan_age_qtr,-3.1043
loan_age_qtr,-3.1066
loan_age_qtr,-3.148
loan_age_qtr,-3.1488
loan_age_qtr,-3.1437
loan_age_qtr,-3.089
loan_age_qtr,-3.1338
loan_age_qtr,-3.1424
loan_age_qtr,-3.059
loan_age_qtr,-3.0586
loan_age_qtr,-3.059
loan_age_qtr,-3.061
loan_age_qtr,-3.1367
loan_age_qtr,-3.0453
loan_age_qtr,-3.0297
loan_age_qtr,-3.006
loan_age_qtr,-3.0169
loan_age_qtr,-3.0875
loan_age_qtr,-3.1227
loan_age_qtr,-3.1595
loan_age_qtr,-3.2175
loan_age_qtr,-3.2185
loan_age_qtr,-3.1759
loan_age_qtr,-3.2377
loan_age_qtr,-3.2554
