,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,GU,PR,VI
1,2.441581942,2.688257334,0.288428734,1.621098708,0.764387166,1.411259465,1.365890748,0.899162811,1.175052777,1.600408747,1.429349336,-1.033067107,0.522050655,2.818296491,1.196186341,1.901726346,0.828721385,0.275577545,1.827295498,0.977812845,1.349455935,1.534784264,1.680780358,1.655059981,0.261187768,0.048692408,-1.033745454,1.81054007,0.591392783,0.855292889,0.924826315,1.158820067,2.047255555,1.408461809,1.724310369,1.62613145,1.491832934,1.790017823,1.359696661,1.336671371,1.142544851,1.248340366,1.447968957,1.252225089,2.054049722,1.446964113,1.330150222,1.235484964,0.934931171,2.163476641,-1.176630324,0,0,0
2,0.304222834,0.29693987,2.37922255,1.220384437,0.193680415,0.279937066,0.913366847,0.536854665,2.264083091,0.654245885,1.639460215,2.365666363,0.776941716,1.839578875,0.773181591,0.747320709,0.700737311,1.382314668,1.068042337,0.926607934,1.26250685,0.987620512,0.958465893,0.320717188,1.603615939,2.622778707,3.225297942,0.195116326,1.866267268,2.081124844,2.113029853,0.541175564,1.785175608,0.830141655,0.610773317,1.07802683,0.024125741,0.155037216,1.195033779,0.651039538,1.978914407,1.15297998,0.89996829,0.761727783,0.705735055,1.386841366,1.48008764,0.592456317,0.522822495,0.774524752,3.815877578,0,0,0
3,1.633572073,0.778839886,1.111420852,1.217583873,1.142112293,0.167873809,0.811225796,0.896867039,0.838401875,0.793345298,1.110229318,1.480915982,0.558889299,1.237282701,0.078136904,0.85634883,0.972869353,0.985669682,0.49445564,1.459570484,1.066250658,1.499393659,1.624537891,1.242419079,1.077476353,0.870373727,0.79924788,0.983854546,-0.345320661,0.710824321,2.001018141,0.120520147,1.285404249,0.729549888,0.894494655,1.020523947,0.6840423,0.755527291,1.41579644,0.60837712,0.911098528,0.339443291,0.929507832,0.516845995,1.128978482,1.392577317,1.556164168,1.056709459,1.398257332,0.288966,1.169975317,0,0,0
4,1.957444722,0.713445924,0.9858171,1.014108492,1.196494485,-0.180501818,1.00672856,1.006151347,0.881876548,0.559156039,0.925973959,1.104522477,0.530693892,0.86477609,0.622360475,0.781568946,0.88506928,0.91800809,0.539385994,1.482211405,1.125606379,1.583815898,1.573469761,1.183482361,0.897617277,0.77244567,0.592333828,0.892203633,-0.178542959,0.547899954,2.034800719,0.43770668,1.380500075,0.421079294,0.927430619,0.89960363,0.673828041,0.629404248,1.479504847,0.535449933,0.794672711,0.15515781,0.729399688,0.414761822,0.91257641,1.373614162,1.682142455,0.858524301,1.319986853,0.219273424,1.023815345,0,0,0
5,1.769095187,0.751886906,0.833097273,0.71489869,1.38275218,-0.456188664,1.079197019,0.374335591,0.965892732,0.427182294,0.839545182,0.901511316,0.567486708,0.487671122,0.744790782,0.782882446,0.753719932,0.749858938,0.535186332,1.340554944,1.149458893,1.445920995,1.467617165,1.10417916,0.784506685,0.765131791,0.274212247,0.79066314,-0.014255191,0.546888249,1.879584363,0.603630251,1.392959947,0.168656474,1.028069131,0.896370282,0.693812356,0.593723622,1.356432319,0.716856304,0.750996638,0.261586966,0.590198143,0.353742598,0.588396666,1.325760933,1.509183212,0.916815351,1.280926938,0.558092497,1.115410024,0,0,0
6,1.603907087,0.546402234,0.57603996,0.314843672,1.285658607,-0.88048337,1.121493605,0.10296074,0.83466911,0.053046719,0.570585424,0.475447269,0.384787188,-0.023059507,0.73997096,0.576250955,0.511215582,0.500367565,0.364831086,1.117552686,1.000399822,1.253168238,1.206700734,0.857836258,0.526920198,0.567019345,-0.116923353,0.547853928,-0.110714976,0.326671103,1.658294903,0.594646036,1.221061705,-0.262452332,0.878747875,0.679001931,0.506830296,0.340135638,1.139234426,0.554343808,0.512099663,0.066621741,0.309496145,0.123119534,0.169432197,1.110309851,1.31678704,0.648944987,1.034867068,0.437937951,0.892556534,0,0,0
7,1.517173802,0.557840958,0.520476335,0.119375851,1.343685515,-1.055845957,1.239449155,0.021484052,0.862523996,-0.080273523,0.519417226,0.291327013,0.394895766,-0.287493877,0.833031636,0.567046725,0.475791073,0.438877604,0.358438946,1.024070098,0.992208775,1.161732701,1.109702503,0.796682691,0.478474635,0.553809081,-0.341156731,0.501702656,-0.055126297,0.303260256,1.533508074,0.682672715,1.204553772,-0.44938976,0.892565586,0.66829497,0.518786005,0.287673512,1.057139585,0.610057447,0.479610833,0.086343763,0.252823246,0.102447138,-0.043779217,1.04962754,1.217235177,0.624690987,0.968503546,0.548607883,0.830077861,0,0,0
8,1.491745356,0.590545744,0.531178886,0.010133895,1.406171521,-1.128678677,1.361914623,0.037098967,0.930816868,-0.152153391,0.521474253,0.162987589,0.438934775,-0.444394437,0.917732644,0.597976293,0.496920292,0.438150365,0.399699339,1.002524203,1.030872934,1.162540553,1.07033156,0.787289638,0.482869409,0.59137502,-0.441744761,0.520171641,0.0228378,0.33953485,1.503229099,0.776771133,1.213183856,-0.565566568,0.934855536,0.697155707,0.555392718,0.281068771,1.040739843,0.674813574,0.495725855,0.138782386,0.256533117,0.138298877,-0.160520491,1.047487365,1.205589623,0.612113486,0.944531323,0.633215394,0.801524758,0,0,0
9,1.433461349,0.630425531,0.555748247,-0.092405811,1.461517704,-1.167250621,1.429488454,0.061792512,0.94955256,-0.223682449,0.538439162,0.06601503,0.502284498,-0.578099953,0.973764181,0.649743057,0.541348337,0.454703049,0.448130139,0.935381277,1.026258924,1.096019139,1.008696935,0.755672477,0.516048334,0.633779556,-0.529672692,0.544961105,0.118582127,0.403424859,1.419562091,0.826041885,1.196453101,-0.66071991,0.945853376,0.7490962,0.598587959,0.28614073,0.994525213,0.720628452,0.51670865,0.215704569,0.277503041,0.179110317,-0.267252065,1.001235957,1.12953209,0.621071952,0.904046126,0.718737848,0.781993389,0,0,0
10,1.418207411,0.691296696,0.612049667,-0.128944676,1.492112078,-1.132697077,1.545401012,0.13619267,1.025230726,-0.269237084,0.585068041,0.022638616,0.572976526,-0.63245896,1.054605836,0.711338513,0.600097874,0.50223077,0.520130447,0.93982375,1.079208546,1.114048434,1.002908568,0.779170662,0.566425544,0.700440048,-0.545983393,0.592544395,0.218633729,0.476491372,1.409241584,0.916905461,1.212285261,-0.68938882,1.00620166,0.811209896,0.663912856,0.332531406,1.006111595,0.810039975,0.566181486,0.29601413,0.330263438,0.251503779,-0.304460351,1.019924992,1.133907229,0.658521145,0.914621416,0.811289229,0.79209085,0,0,0
